age,job,housing,month,duration,pdays,previous,ifCreatedAccount
42,4,1,5,67,-1,0,0
34,1,1,5,291,-1,0,0
33,1,1,5,309,-1,0,0
38,5,1,5,248,-1,0,0
50,3,0,5,98,-1,0,0
43,2,1,5,256,-1,0,0
61,1,1,5,82,-1,0,0
47,4,1,5,577,-1,0,0
48,7,1,5,286,-1,0,0
44,1,1,5,477,-1,0,0
35,11,1,5,611,-1,0,0
35,5,1,5,471,-1,0,0
50,5,1,5,381,-1,0,0
41,2,1,5,42,-1,0,0
41,2,1,5,251,-1,0,0
39,5,1,5,408,-1,0,0
42,6,1,5,215,-1,0,0
38,1,1,5,287,-1,0,0
53,6,1,5,216,-1,0,0
59,10,0,5,366,-1,0,0
36,5,1,5,210,-1,0,0
54,1,1,5,288,-1,0,0
40,3,1,5,168,-1,0,0
47,12,0,5,338,-1,0,0
53,9,0,5,410,-1,0,0
46,10,0,5,177,-1,0,0
39,2,1,5,127,-1,0,0
40,9,1,5,357,-1,0,0
28,1,1,5,175,-1,0,0
35,8,1,5,300,-1,0,0
55,6,0,5,136,-1,0,0
43,3,1,5,1419,-1,0,0
48,1,1,5,125,-1,0,0
58,2,1,5,213,-1,0,0
33,2,1,5,27,-1,0,0
36,1,0,5,238,-1,0,0
53,5,1,5,124,-1,0,0
47,1,1,5,18,-1,0,0
31,5,1,5,730,-1,0,0
57,8,1,5,746,-1,0,0
53,1,0,5,121,-1,0,0
55,1,1,5,247,-1,0,0
45,1,1,5,40,-1,0,0
53,4,1,5,181,-1,0,0
37,1,1,5,79,-1,0,0
44,4,1,5,206,-1,0,0
49,1,1,5,389,-1,0,0
46,3,1,5,127,-1,0,0
43,8,1,5,702,-1,0,0
38,4,0,5,151,-1,0,0
43,3,1,5,117,-1,0,0
49,2,1,5,232,-1,0,0
42,2,0,5,408,-1,0,0
22,1,1,5,179,-1,0,0
40,2,1,5,39,-1,0,0
39,1,1,5,282,-1,0,0
51,5,1,5,714,-1,0,0
49,4,1,5,50,-1,0,0
53,1,1,5,181,-1,0,0
34,5,1,5,142,-1,0,0
33,3,1,5,227,-1,0,0
50,2,1,5,119,-1,0,0
39,1,1,5,361,-1,0,0
59,8,1,5,73,-1,0,0
30,3,1,5,67,-1,0,0
36,5,1,5,350,-1,0,0
40,1,1,5,332,-1,0,0
53,1,1,5,611,-1,0,0
34,2,1,5,113,-1,0,0
37,3,1,5,132,-1,0,0
42,2,1,5,58,-1,0,0
41,8,1,5,151,-1,0,0
30,11,1,5,89,-1,0,0
37,2,1,5,152,-1,0,0
39,4,1,5,611,-1,0,0
41,1,1,5,110,-1,0,0
40,1,1,5,463,-1,0,0
42,2,1,5,562,-1,0,1
40,1,1,5,962,-1,0,0
57,3,1,5,10,-1,0,0
56,8,0,5,118,-1,0,0
37,4,1,5,92,-1,0,0
59,6,1,5,143,-1,0,0
39,5,1,5,189,-1,0,0
49,5,0,5,234,-1,0,0
38,5,1,5,75,-1,0,0
36,7,0,5,189,-1,0,0
50,1,1,5,621,-1,0,0
41,4,1,5,55,-1,0,0
54,3,0,5,310,-1,0,0
58,1,1,5,156,-1,0,0
30,1,1,5,5,-1,0,0
33,4,1,5,225,-1,0,0
47,4,1,5,125,-1,0,0
50,3,1,5,2,-1,0,0
32,1,1,5,286,-1,0,0
40,7,1,5,164,-1,0,0
37,2,1,5,98,-1,0,0
54,3,1,5,742,-1,0,0
24,11,1,5,226,-1,0,0
54,2,0,5,120,-1,0,0
34,3,1,5,362,-1,0,0
56,3,1,5,357,-1,0,0
31,1,1,5,200,-1,0,0
24,11,1,5,204,-1,0,0
42,1,1,5,126,-1,0,0
57,3,1,5,65,-1,0,0
42,1,1,5,107,-1,0,0
51,4,1,5,267,-1,0,0
57,6,1,5,248,-1,0,0
36,5,1,5,215,-1,0,0
53,5,1,5,209,-1,0,0
50,3,1,5,205,-1,0,0
54,2,1,5,83,-1,0,0
55,1,1,5,106,-1,0,0
44,1,1,5,189,-1,0,0
43,2,1,5,105,-1,0,0
56,4,1,5,106,-1,0,0
54,3,1,5,108,-1,0,0
55,5,1,5,311,-1,0,0
37,5,1,5,214,-1,0,0
33,4,0,5,132,-1,0,0
46,4,1,5,358,-1,0,0
36,1,1,5,453,-1,0,0
51,3,1,5,364,-1,0,0
40,6,0,5,136,-1,0,0
42,1,1,5,386,-1,0,0
51,1,1,5,173,-1,0,0
49,1,1,5,241,-1,0,0
48,2,1,5,224,-1,0,0
32,3,0,5,148,-1,0,0
31,4,1,5,196,-1,0,0
55,2,0,5,111,-1,0,0
40,1,1,5,231,-1,0,0
47,3,1,5,316,-1,0,0
57,3,1,5,216,-1,0,0
41,1,1,5,240,-1,0,0
48,1,0,5,669,-1,0,0
42,1,1,5,425,-1,0,0
30,1,1,5,143,-1,0,0
58,2,1,5,174,-1,0,0
45,2,1,5,313,-1,0,0
49,1,1,5,135,-1,0,0
42,4,1,5,146,-1,0,0
53,3,1,5,152,-1,0,0
51,4,0,5,402,-1,0,0
32,5,1,5,213,-1,0,0
41,1,1,5,144,-1,0,0
43,2,1,5,124,-1,0,0
40,1,1,5,183,-1,0,0
50,1,1,5,325,-1,0,0
34,2,1,5,39,-1,0,0
53,5,0,5,503,-1,0,0
45,3,1,5,95,-1,0,0
39,1,1,5,680,-1,0,0
44,5,1,5,421,-1,0,0
55,2,1,5,174,-1,0,0
46,2,1,5,113,-1,0,0
45,1,1,5,808,-1,0,0
34,4,1,5,198,-1,0,0
36,1,1,5,195,-1,0,0
59,12,0,5,347,-1,0,0
31,4,1,5,208,-1,0,0
44,1,1,5,404,-1,0,0
33,8,1,5,396,-1,0,0
40,1,1,5,216,-1,0,0
46,4,1,5,98,-1,0,0
48,2,1,5,350,-1,0,0
42,5,1,5,114,-1,0,0
27,5,1,5,88,-1,0,0
48,4,1,5,379,-1,0,0
59,4,1,5,190,-1,0,0
46,3,1,5,158,-1,0,0
38,4,1,5,102,-1,0,0
43,2,1,5,306,-1,0,0
38,4,1,5,218,-1,0,0
23,11,1,5,54,-1,0,0
34,5,1,5,344,-1,0,0
38,4,1,5,195,-1,0,0
37,1,0,5,652,-1,0,0
25,4,1,5,286,-1,0,0
48,1,1,5,189,-1,0,0
49,1,1,5,83,-1,0,0
38,4,0,5,184,-1,0,0
43,1,1,5,235,-1,0,0
33,2,1,5,290,-1,0,0
55,1,1,5,232,-1,0,0
38,1,1,5,133,-1,0,0
49,5,1,5,318,-1,0,0
40,2,0,5,260,-1,0,0
43,4,0,5,437,-1,0,0
38,1,1,5,402,-1,0,0
58,5,1,5,85,-1,0,0
57,3,1,5,125,-1,0,0
32,9,1,5,501,-1,0,0
56,2,1,5,1201,-1,0,1
58,1,1,5,253,-1,0,0
60,6,1,5,1030,-1,0,1
37,3,1,5,149,-1,0,0
46,3,1,5,114,-1,0,0
27,4,1,5,243,-1,0,0
43,1,1,5,769,-1,0,0
32,3,1,5,135,-1,0,0
40,4,1,5,231,-1,0,0
38,4,0,5,76,-1,0,0
34,1,0,5,199,-1,0,0
47,1,1,5,152,-1,0,0
42,10,1,5,124,-1,0,0
48,3,1,5,424,-1,0,0
29,7,1,5,43,-1,0,0
50,5,1,5,154,-1,0,0
52,3,0,5,203,-1,0,0
50,2,0,5,326,-1,0,0
58,6,0,5,393,-1,0,0
46,1,1,5,241,-1,0,0
38,3,1,5,483,-1,0,0
46,1,1,5,259,-1,0,0
32,5,1,5,227,-1,0,0
51,1,1,5,673,-1,0,0
39,4,1,5,576,-1,0,0
48,4,1,5,180,-1,0,0
36,8,1,5,168,-1,0,0
34,4,1,5,90,-1,0,0
40,3,0,5,505,-1,0,0
43,9,1,5,245,-1,0,0
52,1,1,5,186,-1,0,0
33,3,1,5,623,-1,0,0
49,2,1,5,496,-1,0,0
32,2,1,5,118,-1,0,0
39,4,1,5,342,-1,0,0
40,1,1,5,225,-1,0,0
38,3,1,5,185,-1,0,0
43,2,1,5,196,-1,0,0
39,5,1,5,276,-1,0,0
54,1,1,5,76,-1,0,0
38,3,1,5,87,-1,0,0
40,1,1,5,195,-1,0,0
55,4,1,5,744,-1,0,0
42,2,1,5,765,-1,0,0
39,1,1,5,262,-1,0,0
40,1,1,5,119,-1,0,0
32,1,1,5,198,-1,0,0
55,4,1,5,150,-1,0,0
45,1,0,5,241,-1,0,0
35,2,1,5,181,-1,0,0
58,3,0,5,196,-1,0,0
35,4,1,5,149,-1,0,0
49,5,1,5,246,-1,0,0
34,3,1,5,112,-1,0,0
36,1,1,5,309,-1,0,0
24,7,1,5,278,-1,0,0
34,3,1,5,140,-1,0,0
51,4,1,5,136,-1,0,0
39,3,1,5,1623,-1,0,1
50,7,1,5,101,-1,0,0
32,5,1,5,144,-1,0,0
42,1,1,5,238,-1,0,0
50,3,1,5,354,-1,0,0
40,5,0,5,79,-1,0,0
46,2,1,5,187,-1,0,0
37,2,1,5,451,-1,0,0
34,1,1,5,159,-1,0,0
44,1,1,5,409,-1,0,0
40,4,1,5,170,-1,0,0
37,3,1,5,608,-1,0,1
33,1,0,5,243,-1,0,0
35,1,1,5,145,-1,0,0
58,1,0,5,112,-1,0,0
39,1,1,5,262,-1,0,0
43,1,1,5,124,-1,0,0
39,9,1,5,53,-1,0,0
36,5,1,5,134,-1,0,0
57,6,0,5,204,-1,0,0
36,4,1,5,186,-1,0,0
50,1,1,5,678,-1,0,0
55,1,1,5,182,-1,0,0
44,7,1,5,162,-1,0,0
44,5,1,5,27,-1,0,0
39,10,1,5,699,-1,0,0
46,1,1,5,43,-1,0,0
39,1,1,5,97,-1,0,0
34,4,0,5,1677,-1,0,1
40,1,1,5,283,-1,0,0
50,2,1,5,323,-1,0,0
31,2,1,5,82,-1,0,0
37,4,1,5,310,-1,0,0
39,2,1,5,185,-1,0,0
51,1,1,5,47,-1,0,0
41,3,1,5,145,-1,0,0
41,3,1,5,204,-1,0,0
43,1,0,5,187,-1,0,0
30,5,1,5,30,-1,0,0
54,2,0,5,472,-1,0,0
43,1,1,5,448,-1,0,0
59,2,1,5,264,-1,0,0
47,3,1,5,169,-1,0,0
40,1,1,5,288,-1,0,0
32,3,1,5,176,-1,0,0
29,1,1,5,215,-1,0,0
36,1,1,5,337,-1,0,0
55,9,0,5,278,-1,0,0
30,1,1,5,188,-1,0,0
39,4,1,5,174,-1,0,0
39,1,1,5,226,-1,0,0
50,1,1,5,190,-1,0,0
44,1,1,5,111,-1,0,0
37,3,1,5,164,-1,0,0
46,4,1,5,157,-1,0,0
32,3,0,5,46,-1,0,0
37,2,1,5,374,-1,0,0
29,1,1,5,349,-1,0,0
41,1,1,5,325,-1,0,0
45,1,1,5,233,-1,0,0
57,6,1,5,531,-1,0,0
48,1,1,5,153,-1,0,0
60,6,0,5,80,-1,0,0
26,4,1,5,232,-1,0,0
58,6,1,5,118,-1,0,0
34,4,1,5,190,-1,0,0
55,9,1,5,918,-1,0,1
41,1,1,5,238,-1,0,0
50,2,1,5,82,-1,0,0
49,8,1,5,198,-1,0,0
44,4,0,5,160,-1,0,0
44,1,1,5,211,-1,0,0
31,3,1,5,120,-1,0,0
34,1,1,5,136,-1,0,0
46,2,1,5,269,-1,0,0
42,2,0,5,157,-1,0,0
52,4,1,5,128,-1,0,0
29,2,1,5,211,-1,0,0
53,6,1,5,267,-1,0,0
43,1,1,5,371,-1,0,0
38,2,1,5,288,-1,0,0
46,2,1,5,221,-1,0,0
48,2,1,5,427,-1,0,0
30,4,1,5,310,-1,0,0
44,1,0,5,158,-1,0,0
31,10,1,5,604,-1,0,0
42,5,1,5,198,-1,0,0
40,2,1,5,145,-1,0,0
52,4,1,5,247,-1,0,0
45,1,1,5,179,-1,0,0
48,1,1,5,73,-1,0,0
45,1,1,5,263,-1,0,0
34,1,1,5,13,-1,0,0
34,1,1,5,79,-1,0,0
46,1,1,5,416,-1,0,0
49,5,1,5,162,-1,0,0
50,3,1,5,129,-1,0,0
34,4,1,5,150,-1,0,0
40,9,1,5,43,-1,0,0
36,4,1,5,191,-1,0,0
59,1,1,5,26,-1,0,0
45,1,1,5,250,-1,0,0
36,7,1,5,146,-1,0,0
56,5,1,5,416,-1,0,0
42,5,1,5,121,-1,0,0
30,4,1,5,114,-1,0,0
30,11,1,5,289,-1,0,0
47,7,1,5,225,-1,0,0
33,1,1,5,123,-1,0,0
36,4,1,5,130,-1,0,0
39,5,1,5,161,-1,0,0
56,4,1,5,149,-1,0,0
39,1,1,5,268,-1,0,0
42,3,1,5,259,-1,0,0
52,1,0,5,26,-1,0,0
36,4,1,5,153,-1,0,0
35,8,1,5,424,-1,0,0
47,3,1,5,179,-1,0,0
59,5,1,5,97,-1,0,0
57,1,1,5,383,-1,0,0
38,2,1,5,440,-1,0,0
46,9,1,5,23,-1,0,0
34,1,0,5,195,-1,0,0
28,5,1,5,1297,-1,0,1
38,3,1,5,87,-1,0,0
56,1,1,5,427,-1,0,0
41,1,1,5,189,-1,0,0
52,3,0,5,195,-1,0,0
54,5,0,5,179,-1,0,0
61,6,1,5,179,-1,0,0
53,8,0,5,69,-1,0,0
47,3,1,5,105,-1,0,0
53,1,1,5,266,-1,0,0
46,5,1,5,524,-1,0,0
39,1,1,5,96,-1,0,0
56,3,1,5,155,-1,0,0
55,5,1,5,162,-1,0,0
44,2,1,5,352,-1,0,0
37,3,1,5,76,-1,0,0
35,1,1,5,154,-1,0,0
55,1,1,5,310,-1,0,0
37,5,1,5,390,-1,0,0
30,3,1,5,369,-1,0,0
37,1,1,5,112,-1,0,0
36,3,1,5,341,-1,0,0
38,3,1,5,79,-1,0,0
41,4,1,5,140,-1,0,0
48,6,0,5,315,-1,0,0
55,5,1,5,262,-1,0,0
28,5,0,5,174,-1,0,0
54,5,1,5,138,-1,0,0
30,1,0,5,526,-1,0,0
48,3,0,5,135,-1,0,0
31,7,1,5,36,-1,0,0
38,1,1,5,1906,-1,0,0
37,1,1,5,219,-1,0,0
37,5,1,5,147,-1,0,0
56,1,1,5,407,-1,0,0
51,1,1,5,121,-1,0,0
39,1,1,5,209,-1,0,0
49,3,0,5,92,-1,0,0
51,1,1,5,208,-1,0,0
43,7,1,5,193,-1,0,0
32,5,1,5,144,-1,0,0
29,3,1,5,65,-1,0,0
48,2,1,5,339,-1,0,0
55,5,1,5,285,-1,0,0
53,1,1,5,231,-1,0,0
47,3,1,5,168,-1,0,0
39,2,1,5,278,-1,0,0
31,1,1,5,389,-1,0,0
39,1,1,5,158,-1,0,0
40,1,1,5,145,-1,0,0
40,3,1,5,78,-1,0,0
48,3,0,5,142,-1,0,0
33,3,1,5,87,-1,0,0
40,3,1,5,147,-1,0,0
59,6,1,5,289,-1,0,0
30,3,1,5,703,-1,0,1
31,2,1,5,170,-1,0,0
35,9,1,5,802,-1,0,0
54,3,1,5,381,-1,0,0
34,4,1,5,218,-1,0,0
32,3,1,5,57,-1,0,0
56,4,1,5,304,-1,0,0
32,4,1,5,241,-1,0,0
42,1,1,5,230,-1,0,0
33,5,0,5,262,-1,0,0
52,8,1,5,392,-1,0,0
52,5,0,5,201,-1,0,0
52,1,1,5,145,-1,0,0
30,9,1,5,252,-1,0,0
44,5,1,5,235,-1,0,0
35,4,1,5,235,-1,0,0
55,2,1,5,328,-1,0,0
33,1,1,5,116,-1,0,0
37,1,1,5,246,-1,0,0
42,3,1,5,293,-1,0,0
43,9,1,5,37,-1,0,0
38,8,1,5,132,-1,0,0
37,3,1,5,530,-1,0,0
31,11,1,5,175,-1,0,0
41,2,1,5,524,-1,0,0
41,3,1,5,29,-1,0,0
29,11,1,5,311,-1,0,0
38,4,1,5,211,-1,0,0
44,7,1,5,312,-1,0,0
39,4,1,5,412,-1,0,0
28,3,1,5,392,-1,0,0
33,1,1,5,191,-1,0,0
41,5,0,5,284,-1,0,0
40,1,1,5,144,-1,0,0
29,4,1,5,328,-1,0,0
38,2,1,5,100,-1,0,0
32,4,1,5,226,-1,0,0
45,5,1,5,507,-1,0,0
33,4,1,5,392,-1,0,0
34,1,1,5,684,-1,0,0
41,8,1,5,333,-1,0,0
41,1,1,5,311,-1,0,0
35,4,1,5,128,-1,0,0
40,3,1,5,322,-1,0,0
60,7,1,5,202,-1,0,0
47,5,1,5,92,-1,0,0
46,1,1,5,739,-1,0,0
31,1,1,5,273,-1,0,0
49,7,1,5,260,-1,0,0
29,1,1,5,268,-1,0,0
31,2,1,5,396,-1,0,0
38,2,1,5,262,-1,0,0
37,1,1,5,308,-1,0,0
35,3,1,5,467,-1,0,0
31,2,1,5,320,-1,0,0
41,4,1,5,160,-1,0,0
46,5,1,5,245,-1,0,0
40,5,1,5,189,-1,0,0
29,4,1,5,477,-1,0,0
49,4,1,5,310,-1,0,0
42,2,1,5,65,-1,0,0
54,5,1,5,196,-1,0,0
40,2,1,5,221,-1,0,0
53,4,1,5,197,-1,0,0
49,2,1,5,221,-1,0,0
40,1,1,5,64,-1,0,0
29,11,1,5,75,-1,0,0
36,1,1,5,400,-1,0,0
37,3,1,5,378,-1,0,0
39,5,1,5,118,-1,0,0
36,3,1,5,1597,-1,0,1
44,8,1,5,346,-1,0,0
40,4,1,5,60,-1,0,0
49,1,1,5,276,-1,0,0
30,3,1,5,152,-1,0,0
57,2,1,5,251,-1,0,0
24,5,1,5,390,-1,0,0
46,1,1,5,306,-1,0,0
33,4,0,5,189,-1,0,0
43,5,1,5,125,-1,0,0
43,4,1,5,234,-1,0,0
40,1,0,5,79,-1,0,0
44,3,1,5,13,-1,0,0
35,3,1,5,283,-1,0,0
47,3,1,5,109,-1,0,0
33,1,1,5,132,-1,0,0
31,4,1,5,144,-1,0,0
40,1,1,5,121,-1,0,0
36,8,1,5,95,-1,0,0
56,6,1,5,31,-1,0,0
40,4,1,5,112,-1,0,0
41,4,1,5,87,-1,0,0
53,6,1,5,593,-1,0,0
39,1,1,5,99,-1,0,0
44,1,1,5,198,-1,0,0
38,4,1,5,285,-1,0,0
54,3,1,5,190,-1,0,0
58,2,1,5,172,-1,0,0
52,1,1,5,213,-1,0,0
28,4,1,5,178,-1,0,0
36,1,1,5,174,-1,0,0
60,6,1,5,631,-1,0,0
42,5,1,5,176,-1,0,0
42,4,1,5,32,-1,0,0
44,2,1,5,1529,-1,0,0
51,1,1,5,254,-1,0,0
49,1,1,5,200,-1,0,0
47,8,1,5,135,-1,0,0
37,1,1,5,112,-1,0,0
34,2,1,5,314,-1,0,0
35,5,1,5,597,-1,0,0
35,1,1,5,207,-1,0,0
40,1,1,5,410,-1,0,0
55,3,0,5,160,-1,0,0
55,6,1,5,42,-1,0,0
35,2,1,5,55,-1,0,0
57,1,1,5,155,-1,0,0
53,2,1,5,336,-1,0,0
41,1,1,5,233,-1,0,0
57,1,1,5,211,-1,0,0
45,1,1,5,88,-1,0,0
43,1,1,5,208,-1,0,0
56,7,0,5,305,-1,0,0
31,8,1,5,206,-1,0,0
37,1,1,5,128,-1,0,0
30,2,1,5,122,-1,0,0
30,4,1,5,66,-1,0,0
54,1,1,5,66,-1,0,0
36,2,1,5,164,-1,0,0
55,9,0,5,343,-1,0,0
37,4,1,5,126,-1,0,0
38,10,1,5,59,-1,0,0
48,4,1,5,249,-1,0,0
55,10,1,5,406,-1,0,0
59,5,1,5,250,-1,0,0
37,3,1,5,183,-1,0,0
33,1,0,5,190,-1,0,0
44,1,1,5,220,-1,0,0
57,3,1,5,153,-1,0,0
30,7,0,5,95,-1,0,0
42,3,1,5,191,-1,0,0
51,1,1,5,216,-1,0,0
44,4,1,5,89,-1,0,0
46,3,0,5,51,-1,0,0
29,11,1,5,169,-1,0,0
39,1,1,5,148,-1,0,0
42,5,1,5,132,-1,0,0
50,1,1,5,117,-1,0,0
42,3,1,5,275,-1,0,0
39,4,1,5,124,-1,0,0
55,3,1,5,118,-1,0,0
46,5,1,5,479,-1,0,0
42,1,1,5,285,-1,0,0
45,2,1,5,35,-1,0,0
43,1,1,5,322,-1,0,0
42,4,1,5,202,-1,0,0
30,4,0,5,172,-1,0,0
47,1,1,5,201,-1,0,0
51,5,1,5,216,-1,0,0
38,3,1,5,195,-1,0,0
57,3,1,5,96,-1,0,0
42,2,1,5,720,-1,0,0
32,3,1,5,188,-1,0,0
46,2,0,5,70,-1,0,0
29,11,1,5,141,-1,0,0
59,6,1,5,106,-1,0,0
32,1,1,5,395,-1,0,0
44,1,1,5,629,-1,0,0
40,6,1,5,502,-1,0,0
31,1,1,5,446,-1,0,0
46,7,1,5,241,-1,0,0
43,2,1,5,131,-1,0,0
34,5,1,5,312,-1,0,0
39,2,1,5,275,-1,0,0
30,1,1,5,120,-1,0,0
56,6,1,5,333,-1,0,0
29,3,0,5,113,-1,0,0
40,1,1,5,91,-1,0,0
36,5,1,5,128,-1,0,0
37,1,1,5,200,-1,0,0
35,4,0,5,326,-1,0,0
35,1,1,5,292,-1,0,0
47,5,1,5,68,-1,0,0
31,5,1,5,215,-1,0,0
56,6,1,5,97,-1,0,0
57,3,0,5,32,-1,0,0
36,1,1,5,162,-1,0,0
45,7,1,5,152,-1,0,0
47,1,1,5,268,-1,0,0
29,3,1,5,104,-1,0,0
57,5,0,5,852,-1,0,0
45,1,1,5,923,-1,0,0
31,1,1,5,159,-1,0,0
31,2,1,5,953,-1,0,0
37,3,0,5,416,-1,0,0
