age,job,education,balance,month,pdays,ifCreatedAccount,housingLoan
52,1,1,128,5,-1,0,1
59,1,1,179,5,-1,0,1
27,3,3,0,5,-1,0,1
44,1,2,54,5,-1,0,1
47,3,3,151,5,-1,0,1
34,4,2,61,5,-1,0,0
59,6,2,30,5,-1,0,1
45,2,3,523,5,-1,0,1
29,5,2,31,5,-1,0,1
46,3,2,79,5,-1,0,0
56,7,1,-34,5,-1,0,1
36,1,1,448,5,-1,0,1
59,6,1,81,5,-1,0,1
44,1,2,144,5,-1,0,1
41,4,2,351,5,-1,0,1
33,2,3,-67,5,-1,0,1
59,2,3,262,5,-1,0,0
57,3,1,0,5,-1,0,0
56,3,0,56,5,-1,0,1
51,1,2,26,5,-1,0,1
34,4,0,3,5,-1,0,1
43,5,2,41,5,-1,0,1
52,3,3,7,5,-1,0,0
33,3,2,105,5,-1,0,1
29,4,2,818,5,-1,0,1
34,5,2,-16,5,-1,0,1
31,1,2,0,5,-1,0,1
55,5,2,2476,5,-1,1,1
55,2,0,1185,5,-1,0,0
32,4,2,217,5,-1,0,1
38,3,2,1685,5,-1,0,1
55,4,2,802,5,-1,0,1
28,9,3,0,5,-1,0,1
23,1,2,94,5,-1,0,1
32,3,2,0,5,-1,0,1
43,5,0,0,5,-1,0,0
32,1,2,517,5,-1,0,1
46,1,2,265,5,-1,0,1
53,10,1,947,5,-1,0,1
34,7,2,3,5,-1,0,1
57,9,3,42,5,-1,0,0
37,1,2,37,5,-1,0,1
59,1,2,57,5,-1,0,1
33,5,2,22,5,-1,0,1
56,1,1,8,5,-1,0,1
48,9,2,293,5,-1,0,1
43,5,1,3,5,-1,0,1
54,1,1,348,5,-1,0,1
51,1,0,-19,5,-1,0,1
26,11,2,0,5,-1,0,1
40,2,3,-4,5,-1,0,1
39,2,2,18,5,-1,0,1
50,3,1,139,5,-1,0,0
41,5,2,0,5,-1,0,1
51,1,0,1883,5,-1,0,1
60,6,2,216,5,-1,0,1
52,1,2,782,5,-1,0,1
48,1,2,904,5,-1,0,1
48,5,0,1705,5,-1,0,1
39,3,3,47,5,-1,0,1
47,5,2,176,5,-1,0,1
40,1,2,1225,5,-1,0,1
45,3,2,86,5,-1,0,1
26,4,2,82,5,-1,0,1
52,2,3,271,5,-1,0,1
54,3,2,1378,5,-1,0,1
54,4,3,184,5,-1,1,0
50,1,1,0,5,-1,0,0
35,1,2,0,5,-1,0,1
44,5,2,1357,5,-1,0,1
53,8,0,19,5,-1,0,1
35,6,1,434,5,-1,0,0
60,4,2,92,5,-1,0,1
53,4,2,1151,5,-1,0,1
48,9,2,41,5,-1,0,1
34,3,2,51,5,-1,0,1
54,5,2,214,5,-1,0,1
51,2,2,1161,5,-1,0,1
31,5,3,37,5,-1,0,1
35,3,2,787,5,-1,0,1
35,5,2,59,5,-1,0,1
38,3,2,253,5,-1,0,1
36,4,3,211,5,-1,0,1
58,6,1,235,5,-1,0,1
40,5,0,4384,5,-1,0,1
54,2,2,4080,5,-1,0,0
34,1,2,53,5,-1,0,1
31,2,3,0,5,-1,0,1
51,6,2,2127,5,-1,0,1
33,2,3,377,5,-1,0,1
55,2,3,73,5,-1,0,1
42,4,2,445,5,-1,0,1
34,1,2,243,5,-1,0,1
33,1,2,307,5,-1,0,1
38,5,2,155,5,-1,0,1
50,3,3,173,5,-1,0,0
43,2,3,400,5,-1,0,1
61,1,1,1428,5,-1,0,1
47,4,2,219,5,-1,0,1
48,7,3,7,5,-1,0,1
44,1,2,575,5,-1,0,1
35,11,0,298,5,-1,0,1
35,5,2,0,5,-1,0,1
50,5,2,5699,5,-1,0,1
41,2,3,176,5,-1,0,1
41,2,3,517,5,-1,0,1
39,5,0,257,5,-1,0,1
42,6,2,56,5,-1,0,1
38,1,2,-390,5,-1,0,1
53,6,2,330,5,-1,0,1
59,10,1,195,5,-1,0,0
36,5,2,301,5,-1,0,1
54,1,1,-41,5,-1,0,1
40,3,3,483,5,-1,0,1
47,12,0,28,5,-1,0,0
53,9,0,13,5,-1,0,0
46,10,1,965,5,-1,0,0
39,2,3,378,5,-1,0,1
40,9,2,219,5,-1,0,1
28,1,1,324,5,-1,0,1
35,8,2,-69,5,-1,0,1
55,6,2,0,5,-1,0,0
43,3,0,205,5,-1,0,1
48,1,1,278,5,-1,0,1
58,2,0,1065,5,-1,0,1
33,2,3,34,5,-1,0,1
36,1,0,1033,5,-1,0,0
53,5,2,1467,5,-1,0,1
47,1,1,-12,5,-1,0,1
31,5,2,388,5,-1,0,1
57,8,2,294,5,-1,0,1
53,1,0,1827,5,-1,0,0
55,1,1,627,5,-1,0,1
45,1,1,25,5,-1,0,1
53,4,2,315,5,-1,0,1
37,1,1,0,5,-1,0,1
44,4,2,66,5,-1,0,1
49,1,1,-9,5,-1,0,1
46,3,2,349,5,-1,0,1
43,8,0,100,5,-1,0,1
38,4,2,0,5,-1,0,0
43,3,2,434,5,-1,0,1
49,2,3,3237,5,-1,0,1
42,2,0,275,5,-1,0,0
22,1,2,0,5,-1,0,1
40,2,3,207,5,-1,0,1
39,1,2,483,5,-1,0,1
51,5,2,2248,5,-1,0,1
49,4,2,428,5,-1,0,1
53,1,2,0,5,-1,0,1
34,5,2,0,5,-1,0,1
33,3,2,140,5,-1,0,1
50,2,3,297,5,-1,0,1
39,1,1,279,5,-1,0,1
59,8,2,901,5,-1,0,1
30,3,2,2573,5,-1,0,1
36,5,2,143,5,-1,0,1
40,1,2,475,5,-1,0,1
53,1,2,70,5,-1,0,1
34,2,3,318,5,-1,0,1
37,3,2,275,5,-1,0,1
42,2,3,742,5,-1,0,1
41,8,1,236,5,-1,0,1
30,11,3,25,5,-1,0,1
37,2,3,600,5,-1,0,1
39,4,2,-349,5,-1,0,1
41,1,1,183,5,-1,0,1
40,1,1,0,5,-1,0,1
42,2,3,0,5,-1,1,1
40,1,1,0,5,-1,0,1
57,3,2,1078,5,-1,0,1
56,8,2,155,5,-1,0,0
37,4,2,190,5,-1,0,1
59,6,2,319,5,-1,0,1
39,5,2,-185,5,-1,0,1
49,5,2,47,5,-1,0,0
38,5,2,570,5,-1,0,1
36,7,3,19,5,-1,0,0
50,1,1,61,5,-1,0,1
41,4,2,-62,5,-1,0,1
54,3,3,258,5,-1,0,0
58,1,1,76,5,-1,0,1
30,1,2,0,5,-1,0,1
33,4,2,352,5,-1,0,1
47,4,2,368,5,-1,0,1
50,3,3,339,5,-1,0,1
32,1,2,1331,5,-1,0,1
40,7,2,672,5,-1,0,1
37,2,3,58,5,-1,0,1
54,3,0,447,5,-1,0,1
24,11,2,423,5,-1,0,1
54,2,3,0,5,-1,0,0
34,3,2,19,5,-1,0,1
56,3,1,13,5,-1,0,1
31,1,2,3,5,-1,0,1
24,11,2,82,5,-1,0,1
42,1,1,28,5,-1,0,1
57,3,2,792,5,-1,0,1
42,1,0,408,5,-1,0,1
51,4,2,531,5,-1,0,1
57,6,2,211,5,-1,0,1
36,5,2,62,5,-1,0,1
53,5,0,257,5,-1,0,1
50,3,2,1234,5,-1,0,1
54,2,3,313,5,-1,0,1
55,1,2,89,5,-1,0,1
44,1,2,129,5,-1,0,1
43,2,0,0,5,-1,0,1
56,4,2,353,5,-1,0,1
54,3,0,851,5,-1,0,1
55,5,1,96,5,-1,0,1
37,5,2,398,5,-1,0,1
33,4,3,193,5,-1,0,0
46,4,2,-358,5,-1,0,1
36,1,2,539,5,-1,0,1
51,3,2,0,5,-1,0,1
40,6,1,0,5,-1,0,0
42,1,2,490,5,-1,0,1
51,1,2,0,5,-1,0,1
49,1,0,403,5,-1,0,1
48,2,2,161,5,-1,0,1
32,3,3,2558,5,-1,0,0
31,4,2,98,5,-1,0,1
55,2,3,115,5,-1,0,0
40,1,2,436,5,-1,0,1
47,3,3,831,5,-1,0,1
57,3,0,206,5,-1,0,1
41,1,2,290,5,-1,0,1
48,1,2,1,5,-1,0,0
42,1,0,57,5,-1,0,1
30,1,2,-457,5,-1,0,1
58,2,3,1387,5,-1,0,1
45,2,3,24598,5,-1,0,1
49,1,2,30,5,-1,0,1
42,4,2,1022,5,-1,0,1
53,3,2,56,5,-1,0,1
51,4,2,-2,5,-1,0,0
32,5,2,121,5,-1,0,1
41,1,2,842,5,-1,0,1
43,2,2,693,5,-1,0,1
40,1,2,-333,5,-1,0,1
50,1,1,1533,5,-1,0,1
34,2,3,46,5,-1,0,1
53,5,0,18,5,-1,0,0
45,3,2,44,5,-1,0,1
39,1,1,-100,5,-1,0,1
44,5,3,510,5,-1,0,1
55,2,3,685,5,-1,0,1
46,2,3,187,5,-1,0,1
45,1,2,66,5,-1,0,1
34,4,2,560,5,-1,0,1
36,1,2,0,5,-1,0,1
59,12,0,27,5,-1,0,0
31,4,2,12,5,-1,0,1
44,1,2,34,5,-1,0,1
33,8,3,1068,5,-1,0,1
40,1,2,211,5,-1,0,1
46,4,3,377,5,-1,0,1
48,2,3,263,5,-1,0,1
42,5,2,1263,5,-1,0,1
27,5,2,8,5,-1,0,1
48,4,2,126,5,-1,0,1
59,4,2,230,5,-1,0,1
46,3,3,841,5,-1,0,1
38,4,2,308,5,-1,0,1
43,2,3,1,5,-1,0,1
38,4,3,86,5,-1,0,1
23,11,2,157,5,-1,0,1
34,5,2,22,5,-1,0,1
38,4,2,46,5,-1,0,1
37,1,2,1293,5,-1,0,0
25,4,2,122,5,-1,0,1
48,1,0,131,5,-1,0,1
49,1,2,143,5,-1,0,1
38,4,2,393,5,-1,0,0
43,1,1,98,5,-1,0,1
33,2,3,0,5,-1,0,1
55,1,2,224,5,-1,0,1
38,1,2,757,5,-1,0,1
49,5,2,245,5,-1,0,1
40,2,2,8486,5,-1,0,0
43,4,0,350,5,-1,0,0
38,1,2,20,5,-1,0,1
58,5,2,1667,5,-1,0,1
57,3,0,345,5,-1,0,1
32,9,2,10,5,-1,0,1
56,2,3,830,5,-1,1,1
58,1,0,29,5,-1,0,1
60,6,2,545,5,-1,1,1
37,3,3,8730,5,-1,0,1
46,3,3,477,5,-1,0,1
27,4,2,4,5,-1,0,1
43,1,2,1205,5,-1,0,1
32,3,2,0,5,-1,0,1
40,4,2,263,5,-1,0,1
38,4,2,1,5,-1,0,0
34,1,2,283,5,-1,0,0
47,1,1,206,5,-1,0,1
42,10,1,17,5,-1,0,1
48,3,2,141,5,-1,0,1
29,7,3,16,5,-1,0,1
50,5,2,206,5,-1,0,1
52,3,0,7,5,-1,0,0
50,2,3,0,5,-1,0,0
58,6,3,0,5,-1,0,0
46,1,1,1927,5,-1,0,1
38,3,2,284,5,-1,0,1
46,1,2,1660,5,-1,0,1
32,5,2,406,5,-1,0,1
51,1,1,230,5,-1,0,1
39,4,2,-25,5,-1,0,1
48,4,2,182,5,-1,0,1
36,8,3,1169,5,-1,0,1
34,4,2,67,5,-1,0,1
40,3,2,77,5,-1,0,0
43,9,2,0,5,-1,0,1
52,1,1,55,5,-1,0,1
33,3,2,72,5,-1,0,1
49,2,3,163,5,-1,0,1
32,2,3,151,5,-1,0,1
39,4,2,113,5,-1,0,1
40,1,2,0,5,-1,0,1
38,3,3,9,5,-1,0,1
43,2,2,375,5,-1,0,1
39,5,2,1142,5,-1,0,1
54,1,1,2102,5,-1,0,1
38,3,3,4325,5,-1,0,1
40,1,2,217,5,-1,0,1
55,4,2,131,5,-1,0,1
42,2,3,1680,5,-1,0,1
39,1,2,0,5,-1,0,1
40,1,1,46,5,-1,0,1
32,1,2,320,5,-1,0,1
55,4,2,183,5,-1,0,1
45,1,2,39,5,-1,0,0
35,2,3,560,5,-1,0,1
58,3,2,469,5,-1,0,0
35,4,2,530,5,-1,0,1
49,5,1,61,5,-1,0,1
34,3,3,242,5,-1,0,1
36,1,2,139,5,-1,0,1
24,7,2,0,5,-1,0,1
34,3,2,367,5,-1,0,1
51,4,2,228,5,-1,0,1
39,3,0,45248,5,-1,1,1
50,7,0,-84,5,-1,0,1
32,5,2,310,5,-1,0,1
42,1,0,132,5,-1,0,1
50,3,2,797,5,-1,0,1
40,5,2,71,5,-1,0,0
46,2,0,2,5,-1,0,1
37,2,3,231,5,-1,0,1
34,1,2,270,5,-1,0,1
44,1,2,274,5,-1,0,1
40,4,2,-109,5,-1,0,1
37,3,2,1,5,-1,1,1
33,1,2,-60,5,-1,0,0
35,1,2,89,5,-1,0,1
58,1,2,-11,5,-1,0,0
39,1,1,0,5,-1,0,1
43,1,2,-509,5,-1,0,1
39,9,1,408,5,-1,0,1
36,5,1,58,5,-1,0,1
57,6,2,1640,5,-1,0,0
36,4,2,20,5,-1,0,1
50,1,1,71,5,-1,0,1
55,1,2,52,5,-1,0,1
44,7,3,292,5,-1,0,1
44,5,2,424,5,-1,0,1
39,10,1,109,5,-1,0,1
46,1,0,1044,5,-1,0,1
39,1,2,983,5,-1,0,1
34,4,2,869,5,-1,1,0
40,1,1,668,5,-1,0,1
50,2,3,964,5,-1,0,1
31,2,2,301,5,-1,0,1
37,4,2,140,5,-1,0,1
39,2,2,1877,5,-1,0,1
51,1,1,1127,5,-1,0,1
41,3,2,871,5,-1,0,1
41,3,2,767,5,-1,0,1
43,1,2,0,5,-1,0,0
30,5,2,209,5,-1,0,1
54,2,1,0,5,-1,0,0
43,1,2,110,5,-1,0,1
59,2,3,-76,5,-1,0,1
47,3,0,178,5,-1,0,1
40,1,1,-66,5,-1,0,1
32,3,2,0,5,-1,0,1
29,1,2,1,5,-1,0,1
36,1,2,0,5,-1,0,1
55,9,3,5345,5,-1,0,0
30,1,2,-209,5,-1,0,1
39,4,2,0,5,-1,0,1
39,1,2,42,5,-1,0,1
50,1,2,41,5,-1,0,1
44,1,2,-99,5,-1,0,1
37,3,2,17,5,-1,0,1
46,4,1,276,5,-1,0,1
32,3,0,-170,5,-1,0,0
37,2,3,230,5,-1,0,1
29,1,2,9,5,-1,0,1
41,1,2,946,5,-1,0,1
45,1,1,1297,5,-1,0,1
57,6,2,-331,5,-1,0,1
48,1,2,44,5,-1,0,1
60,6,2,15,5,-1,0,0
26,4,2,712,5,-1,0,1
58,6,2,5435,5,-1,0,1
34,4,2,507,5,-1,0,1
55,9,2,387,5,-1,1,1
41,1,1,0,5,-1,0,1
50,2,2,1716,5,-1,0,1
49,8,2,167,5,-1,0,1
44,4,0,40,5,-1,0,0
44,1,1,148,5,-1,0,1
31,3,2,17,5,-1,0,1
34,1,3,1011,5,-1,0,1
46,2,0,1527,5,-1,0,1
42,2,3,744,5,-1,0,0
52,4,2,484,5,-1,0,1
29,2,3,0,5,-1,0,1
53,6,1,136,5,-1,0,1
43,1,2,1335,5,-1,0,1
38,2,2,517,5,-1,0,1
46,2,3,459,5,-1,0,1
48,2,0,549,5,-1,0,1
30,4,2,83,5,-1,0,1
44,1,1,213,5,-1,0,0
31,10,1,203,5,-1,0,1
42,5,2,518,5,-1,0,1
40,2,3,3877,5,-1,0,1
52,4,2,1236,5,-1,0,1
45,1,2,756,5,-1,0,1
48,1,2,157,5,-1,0,1
45,1,1,-66,5,-1,0,1
34,1,0,245,5,-1,0,1
34,1,1,-144,5,-1,0,1
46,1,2,71,5,-1,0,1
49,5,2,505,5,-1,0,1
50,3,1,249,5,-1,0,1
34,4,2,0,5,-1,0,1
40,9,2,11,5,-1,0,1
36,4,2,639,5,-1,0,1
59,1,0,124,5,-1,0,1
45,1,2,82,5,-1,0,1
36,7,3,107,5,-1,0,1
56,5,2,473,5,-1,0,1
42,5,2,372,5,-1,0,1
30,4,2,46,5,-1,0,1
30,11,3,34,5,-1,0,1
47,7,0,935,5,-1,0,1
33,1,2,-10,5,-1,0,1
36,4,2,-106,5,-1,0,1
39,5,1,471,5,-1,0,1
56,4,2,778,5,-1,0,1
39,1,0,170,5,-1,0,1
42,3,2,315,5,-1,0,1
52,1,2,3165,5,-1,0,0
36,4,2,131,5,-1,0,1
35,8,2,204,5,-1,0,1
47,3,2,83,5,-1,0,1
59,5,2,0,5,-1,0,1
57,1,1,5431,5,-1,0,1
38,2,0,1759,5,-1,0,1
46,9,2,-125,5,-1,0,1
34,1,2,0,5,-1,0,0
28,5,2,5090,5,-1,1,1
38,3,0,573,5,-1,0,1
56,1,2,1602,5,-1,0,1
41,1,1,-137,5,-1,0,1
52,3,0,0,5,-1,0,0
54,5,2,193,5,-1,0,0
61,6,2,195,5,-1,0,1
53,8,2,288,5,-1,0,0
47,3,2,19,5,-1,0,1
53,1,1,25,5,-1,0,1
46,5,2,216,5,-1,0,1
39,1,1,190,5,-1,0,1
56,3,2,99,5,-1,0,1
55,5,1,2298,5,-1,0,1
44,2,3,17,5,-1,0,1
37,3,1,0,5,-1,0,1
35,1,1,0,5,-1,0,1
55,1,2,840,5,-1,0,1
37,5,2,358,5,-1,0,1
30,3,2,0,5,-1,0,1
37,1,1,-325,5,-1,0,1
36,3,2,-15,5,-1,0,1
38,3,2,581,5,-1,0,1
41,4,1,4070,5,-1,0,1
48,6,2,74,5,-1,0,0
55,5,2,141,5,-1,0,1
28,5,2,89,5,-1,0,0
54,5,2,0,5,-1,0,1
30,1,2,450,5,-1,0,0
48,3,3,310,5,-1,0,0
31,7,2,0,5,-1,0,1
38,1,2,384,5,-1,0,1
37,1,2,395,5,-1,0,1
37,5,0,-118,5,-1,0,1
56,1,1,5,5,-1,0,1
51,1,2,50,5,-1,0,1
39,1,2,285,5,-1,0,1
49,3,0,15,5,-1,0,0
51,1,1,653,5,-1,0,1
43,7,2,918,5,-1,0,1
32,5,2,243,5,-1,0,1
29,3,3,405,5,-1,0,1
48,2,3,1328,5,-1,0,1
55,5,1,255,5,-1,0,1
53,1,2,3397,5,-1,0,1
47,3,0,2106,5,-1,0,1
39,2,3,2877,5,-1,0,1
31,1,3,60,5,-1,0,1
39,1,1,2226,5,-1,0,1
40,1,1,2880,5,-1,0,1
40,3,0,-5,5,-1,0,1
48,3,2,147,5,-1,0,0
33,3,2,7,5,-1,0,1
40,3,2,109,5,-1,0,1
59,6,1,-119,5,-1,0,1
30,3,2,484,5,-1,1,1
31,2,3,1852,5,-1,0,1
35,9,2,533,5,-1,0,1
54,3,2,21,5,-1,0,1
34,4,0,2434,5,-1,0,1
32,3,2,90,5,-1,0,1
56,4,0,4246,5,-1,0,1
32,4,3,395,5,-1,0,1
42,1,1,15,5,-1,0,1
33,5,3,85,5,-1,0,0
52,8,3,-184,5,-1,0,1
52,5,2,660,5,-1,0,0
52,1,1,-183,5,-1,0,1
30,9,2,1144,5,-1,0,1
44,5,2,1,5,-1,0,1
35,4,2,69,5,-1,0,1
55,2,2,220,5,-1,0,1
33,1,1,332,5,-1,0,1
37,1,2,240,5,-1,0,1
42,3,2,0,5,-1,0,1
43,9,2,0,5,-1,0,1
38,8,3,898,5,-1,0,1
37,3,2,123,5,-1,0,1
31,11,2,252,5,-1,0,1
41,2,3,65,5,-1,0,1
41,3,2,-366,5,-1,0,1
29,11,2,209,5,-1,0,1
38,4,2,221,5,-1,0,1
44,7,3,4,5,-1,0,1
39,4,2,104,5,-1,0,1
28,3,2,312,5,-1,0,1
33,1,2,-349,5,-1,0,1
41,5,0,4,5,-1,0,0
40,1,1,-322,5,-1,0,1
29,4,2,-150,5,-1,0,1
38,2,0,1349,5,-1,0,1
32,4,3,281,5,-1,0,1
45,5,2,1259,5,-1,0,1
33,4,2,101,5,-1,0,1
34,1,2,848,5,-1,0,1
41,8,0,89,5,-1,0,1
41,1,2,140,5,-1,0,1
35,4,2,148,5,-1,0,1
40,3,2,200,5,-1,0,1
60,7,1,46,5,-1,0,1
47,5,2,201,5,-1,0,1
46,1,1,530,5,-1,0,1
31,1,2,0,5,-1,0,1
49,7,2,1,5,-1,0,1
29,1,2,43,5,-1,0,1
31,2,3,-173,5,-1,0,1
38,2,3,389,5,-1,0,1
37,1,1,215,5,-1,0,1
35,3,2,-131,5,-1,0,1
31,2,2,783,5,-1,0,1
41,4,2,0,5,-1,0,1
46,5,0,80,5,-1,0,1
40,5,2,105,5,-1,0,1
29,4,2,182,5,-1,0,1
49,4,2,82,5,-1,0,1
42,2,3,0,5,-1,0,1
54,5,2,510,5,-1,0,1
40,2,3,242,5,-1,0,1
53,4,2,244,5,-1,0,1
49,2,3,92,5,-1,0,1
40,1,1,0,5,-1,0,1
29,11,2,948,5,-1,0,1
36,1,1,23,5,-1,0,1
37,3,2,710,5,-1,0,1
39,5,2,1205,5,-1,0,1
36,3,2,368,5,-1,1,1
44,8,3,1631,5,-1,0,1
40,4,2,6,5,-1,0,1
49,1,2,26,5,-1,0,1
30,3,0,-48,5,-1,0,1
57,2,3,2142,5,-1,0,1
24,5,2,77,5,-1,0,1
46,1,0,401,5,-1,0,1
33,4,2,21,5,-1,0,0
43,5,2,0,5,-1,0,1
43,4,2,-497,5,-1,0,1
40,1,1,369,5,-1,0,0
44,3,0,78,5,-1,0,1
35,3,3,226,5,-1,0,1
47,3,2,503,5,-1,0,1
33,1,2,372,5,-1,0,1
31,4,2,0,5,-1,0,1
40,1,2,0,5,-1,0,1
36,8,3,125,5,-1,0,1
56,6,1,4,5,-1,0,1
40,4,0,419,5,-1,0,1
41,4,2,322,5,-1,0,1
53,6,2,303,5,-1,0,1
39,1,2,607,5,-1,0,1
44,1,2,579,5,-1,0,1
38,4,2,3047,5,-1,0,1
54,3,2,83,5,-1,0,1
58,2,3,68,5,-1,0,1
52,1,1,58,5,-1,0,1
28,4,2,251,5,-1,0,1
36,1,2,688,5,-1,0,1
60,6,1,364,5,-1,0,1
42,5,2,55,5,-1,0,1
42,4,2,101,5,-1,0,1
44,2,3,105,5,-1,0,1
51,1,1,325,5,-1,0,1
49,1,1,198,5,-1,0,1
47,8,0,209,5,-1,0,1
37,1,2,183,5,-1,0,1
34,2,3,105,5,-1,0,1
35,5,2,109,5,-1,0,1
35,1,2,376,5,-1,0,1
40,1,1,-7,5,-1,0,1
55,3,2,0,5,-1,0,0
55,6,2,143,5,-1,0,1
35,2,3,550,5,-1,0,1
57,1,1,162,5,-1,0,1
53,2,3,115,5,-1,0,1
41,1,1,512,5,-1,0,1
57,1,0,807,5,-1,0,1
45,1,0,248,5,-1,0,1
43,1,1,1211,5,-1,0,1
56,7,0,7,5,-1,0,0
31,8,3,281,5,-1,0,1
37,1,2,88,5,-1,0,1
30,2,3,32,5,-1,0,1
30,4,2,115,5,-1,0,1
54,1,2,254,5,-1,0,1
36,2,3,144,5,-1,0,1
55,9,3,383,5,-1,0,0
37,4,2,569,5,-1,0,1
38,10,2,0,5,-1,0,1
48,4,2,3754,5,-1,0,1
55,10,3,6920,5,-1,0,1
59,5,2,307,5,-1,0,1
37,3,2,-421,5,-1,0,1
33,1,2,60,5,-1,0,0
44,1,1,67,5,-1,0,1
57,3,2,402,5,-1,0,1
30,7,3,800,5,-1,0,0
42,3,3,239,5,-1,0,1
51,1,2,421,5,-1,0,1
44,4,2,161,5,-1,0,1
46,3,2,289,5,-1,0,0
29,11,2,110,5,-1,0,1
39,1,1,245,5,-1,0,1
42,5,2,0,5,-1,0,1
50,1,1,156,5,-1,0,1
42,3,2,0,5,-1,0,1
39,4,2,20,5,-1,0,1
55,3,3,92,5,-1,0,1
46,5,2,89,5,-1,0,1
42,1,2,166,5,-1,0,1
45,2,3,103,5,-1,0,1
43,1,1,-454,5,-1,0,1
42,4,2,445,5,-1,0,1
30,4,2,4,5,-1,0,0
47,1,2,1001,5,-1,0,1
51,5,2,-69,5,-1,0,1
38,3,2,42,5,-1,0,1
57,3,0,1617,5,-1,0,1
42,2,3,221,5,-1,0,1
32,3,2,210,5,-1,0,1
46,2,3,0,5,-1,0,0
29,11,3,185,5,-1,0,1
59,6,2,836,5,-1,0,1
32,1,2,301,5,-1,0,1
44,1,1,503,5,-1,0,1
40,6,1,407,5,-1,0,1
31,1,2,53,5,-1,0,1
46,7,3,2303,5,-1,0,1
43,2,3,144,5,-1,0,1
34,5,2,205,5,-1,0,1
39,2,3,305,5,-1,0,1
30,1,2,251,5,-1,0,1
56,6,2,0,5,-1,0,1
29,3,2,8,5,-1,0,0
40,1,2,139,5,-1,0,1
36,5,2,184,5,-1,0,1
37,1,2,238,5,-1,0,1
35,4,2,0,5,-1,0,0
35,1,1,0,5,-1,0,1
47,5,1,222,5,-1,0,1
31,5,2,414,5,-1,0,1
56,6,1,223,5,-1,0,1
57,3,2,197,5,-1,0,0
