job,education,default,balance,loan,month,ifCreatedAccount
7,2,0,3,0,5,0
9,3,0,42,0,5,0
1,2,0,37,0,5,0
1,2,0,57,0,5,0
5,2,0,22,0,5,0
1,1,0,8,0,5,0
9,2,0,293,0,5,0
5,1,0,3,0,5,0
1,1,0,348,0,5,0
1,0,0,-19,0,5,0
11,2,0,0,0,5,0
2,3,0,-4,0,5,0
2,2,0,18,0,5,0
3,1,0,139,0,5,0
5,2,0,0,0,5,0
1,0,0,1883,0,5,0
6,2,0,216,0,5,0
1,2,0,782,0,5,0
1,2,0,904,0,5,0
5,0,0,1705,0,5,0
3,3,0,47,0,5,0
5,2,0,176,0,5,0
1,2,0,1225,0,5,0
3,2,0,86,0,5,0
4,2,0,82,0,5,0
2,3,0,271,0,5,0
3,2,0,1378,0,5,0
4,3,0,184,0,5,1
1,1,0,0,0,5,0
1,2,0,0,0,5,0
5,2,0,1357,1,5,0
8,0,0,19,0,5,0
6,1,0,434,0,5,0
4,2,0,92,0,5,0
4,2,0,1151,0,5,0
9,2,0,41,0,5,0
3,2,0,51,0,5,0
5,2,0,214,0,5,0
2,2,0,1161,0,5,0
5,3,0,37,0,5,0
3,2,0,787,0,5,0
5,2,0,59,0,5,0
3,2,0,253,0,5,0
4,3,0,211,0,5,0
6,1,0,235,0,5,0
5,0,0,4384,0,5,0
2,2,0,4080,0,5,0
1,2,0,53,1,5,0
2,3,0,0,0,5,0
6,2,0,2127,0,5,0
2,3,0,377,0,5,0
2,3,0,73,0,5,0
4,2,0,445,0,5,0
1,2,0,243,0,5,0
1,2,0,307,0,5,0
5,2,0,155,0,5,0
3,3,0,173,1,5,0
2,3,0,400,0,5,0
1,1,0,1428,0,5,0
4,2,0,219,0,5,0
7,3,0,7,0,5,0
1,2,0,575,0,5,0
11,0,0,298,0,5,0
5,2,0,0,0,5,0
5,2,0,5699,0,5,0
2,3,0,176,1,5,0
2,3,0,517,0,5,0
5,0,0,257,0,5,0
6,2,0,56,0,5,0
1,2,0,-390,0,5,0
6,2,0,330,0,5,0
10,1,0,195,0,5,0
5,2,0,301,0,5,0
1,1,0,-41,0,5,0
3,3,0,483,0,5,0
12,0,0,28,0,5,0
9,0,0,13,0,5,0
10,1,0,965,0,5,0
2,3,0,378,1,5,0
9,2,0,219,0,5,0
1,1,0,324,0,5,0
8,2,0,-69,0,5,0
6,2,0,0,1,5,0
3,0,0,205,0,5,0
1,1,0,278,0,5,0
2,0,0,1065,0,5,0
2,3,0,34,0,5,0
1,0,0,1033,0,5,0
5,2,0,1467,0,5,0
1,1,0,-12,0,5,0
5,2,0,388,0,5,0
8,2,0,294,0,5,0
1,0,0,1827,0,5,0
1,1,0,627,0,5,0
1,1,0,25,0,5,0
4,2,0,315,0,5,0
1,1,0,0,0,5,0
4,2,0,66,0,5,0
1,1,0,-9,1,5,0
3,2,0,349,1,5,0
8,0,0,100,0,5,0
4,2,0,0,0,5,0
3,2,0,434,0,5,0
2,3,0,3237,0,5,0
2,0,0,275,0,5,0
1,2,0,0,0,5,0
2,3,0,207,0,5,0
1,2,0,483,0,5,0
5,2,0,2248,0,5,0
4,2,0,428,0,5,0
1,2,0,0,1,5,0
5,2,0,0,0,5,0
3,2,0,140,0,5,0
2,3,0,297,0,5,0
1,1,0,279,0,5,0
8,2,0,901,0,5,0
3,2,0,2573,0,5,0
5,2,0,143,1,5,0
1,2,0,475,0,5,0
1,2,0,70,0,5,0
2,3,0,318,0,5,0
3,2,0,275,0,5,0
2,3,0,742,0,5,0
8,1,0,236,0,5,0
11,3,0,25,0,5,0
2,3,0,600,0,5,0
4,2,0,-349,0,5,0
1,1,0,183,1,5,0
1,1,0,0,0,5,0
2,3,0,0,1,5,1
1,1,0,0,0,5,0
3,2,0,1078,0,5,0
8,2,0,155,0,5,0
4,2,0,190,0,5,0
6,2,0,319,0,5,0
5,2,0,-185,0,5,0
5,2,0,47,0,5,0
5,2,0,570,0,5,0
7,3,0,19,0,5,0
1,1,0,61,0,5,0
4,2,0,-62,1,5,0
3,3,0,258,0,5,0
1,1,0,76,0,5,0
1,2,0,0,0,5,0
4,2,0,352,0,5,0
4,2,0,368,0,5,0
3,3,0,339,0,5,0
1,2,0,1331,0,5,0
7,2,0,672,0,5,0
2,3,0,58,0,5,0
3,0,0,447,0,5,0
11,2,0,423,0,5,0
2,3,0,0,0,5,0
3,2,0,19,0,5,0
3,1,0,13,0,5,0
1,2,0,3,0,5,0
11,2,0,82,0,5,0
1,1,0,28,0,5,0
3,2,0,792,0,5,0
1,0,0,408,0,5,0
4,2,0,531,0,5,0
6,2,0,211,0,5,0
5,2,0,62,0,5,0
5,0,0,257,0,5,0
3,2,0,1234,0,5,0
2,3,0,313,0,5,0
1,2,0,89,0,5,0
1,2,0,129,1,5,0
2,0,0,0,0,5,0
4,2,0,353,0,5,0
3,0,0,851,0,5,0
5,1,0,96,1,5,0
5,2,0,398,1,5,0
4,3,0,193,0,5,0
4,2,0,-358,0,5,0
1,2,0,539,1,5,0
3,2,0,0,0,5,0
6,1,0,0,0,5,0
1,2,0,490,0,5,0
1,2,0,0,0,5,0
1,0,0,403,0,5,0
2,2,0,161,0,5,0
3,3,0,2558,0,5,0
4,2,0,98,0,5,0
2,3,0,115,0,5,0
1,2,0,436,0,5,0
3,3,0,831,0,5,0
3,0,0,206,0,5,0
1,2,0,290,0,5,0
1,2,0,1,0,5,0
1,0,0,57,0,5,0
1,2,0,-457,0,5,0
2,3,0,1387,0,5,0
2,3,0,24598,0,5,0
1,2,0,30,0,5,0
4,2,0,1022,0,5,0
3,2,0,56,1,5,0
4,2,1,-2,0,5,0
5,2,0,121,0,5,0
1,2,0,842,0,5,0
2,2,0,693,0,5,0
1,2,0,-333,0,5,0
1,1,0,1533,0,5,0
2,3,0,46,0,5,0
5,0,0,18,0,5,0
3,2,0,44,0,5,0
1,1,0,-100,0,5,0
5,3,0,510,0,5,0
2,3,0,685,0,5,0
2,3,0,187,0,5,0
1,2,0,66,0,5,0
4,2,0,560,0,5,0
1,2,0,0,0,5,0
12,0,0,27,0,5,0
4,2,0,12,0,5,0
1,2,0,34,0,5,0
8,3,0,1068,0,5,0
1,2,0,211,0,5,0
4,3,0,377,0,5,0
2,3,0,263,0,5,0
5,2,0,1263,0,5,0
5,2,0,8,0,5,0
4,2,0,126,1,5,0
4,2,0,230,0,5,0
3,3,0,841,0,5,0
4,2,0,308,0,5,0
2,3,0,1,0,5,0
4,3,0,86,0,5,0
11,2,0,157,0,5,0
5,2,0,22,0,5,0
4,2,0,46,1,5,0
1,2,0,1293,0,5,0
4,2,0,122,0,5,0
1,0,0,131,0,5,0
1,2,0,143,0,5,0
4,2,0,393,0,5,0
1,1,0,98,0,5,0
2,3,0,0,0,5,0
1,2,0,224,0,5,0
1,2,0,757,0,5,0
5,2,0,245,1,5,0
2,2,0,8486,0,5,0
4,0,0,350,0,5,0
1,2,0,20,0,5,0
5,2,0,1667,1,5,0
3,0,0,345,0,5,0
9,2,0,10,0,5,0
2,3,0,830,1,5,1
1,0,0,29,0,5,0
6,2,0,545,0,5,1
3,3,0,8730,0,5,0
3,3,0,477,0,5,0
4,2,0,4,0,5,0
1,2,0,1205,0,5,0
3,2,0,0,1,5,0
4,2,0,263,0,5,0
4,2,0,1,0,5,0
1,2,0,283,1,5,0
1,1,0,206,0,5,0
10,1,0,17,0,5,0
3,2,0,141,1,5,0
7,3,0,16,0,5,0
5,2,0,206,0,5,0
3,0,0,7,0,5,0
2,3,0,0,0,5,0
6,3,0,0,0,5,0
1,1,0,1927,0,5,0
3,2,0,284,0,5,0
1,2,0,1660,0,5,0
5,2,0,406,0,5,0
1,1,0,230,0,5,0
4,2,0,-25,0,5,0
4,2,0,182,0,5,0
8,3,0,1169,0,5,0
4,2,0,67,0,5,0
3,2,0,77,0,5,0
9,2,0,0,0,5,0
1,1,0,55,1,5,0
3,2,1,72,0,5,0
2,3,0,163,0,5,0
2,3,0,151,0,5,0
4,2,0,113,0,5,0
1,2,0,0,0,5,0
3,3,0,9,0,5,0
2,2,0,375,0,5,0
5,2,0,1142,0,5,0
1,1,0,2102,0,5,0
3,3,0,4325,0,5,0
1,2,0,217,0,5,0
4,2,0,131,0,5,0
2,3,0,1680,0,5,0
1,2,0,0,0,5,0
1,1,0,46,0,5,0
1,2,0,320,0,5,0
4,2,0,183,0,5,0
1,2,0,39,0,5,0
2,3,0,560,0,5,0
3,2,0,469,0,5,0
4,2,0,530,0,5,0
5,1,0,61,0,5,0
3,3,0,242,0,5,0
1,2,0,139,0,5,0
7,2,0,0,0,5,0
3,2,0,367,0,5,0
4,2,0,228,0,5,0
3,0,0,45248,0,5,1
7,0,0,-84,0,5,0
5,2,0,310,0,5,0
1,0,0,132,0,5,0
3,2,0,797,0,5,0
5,2,0,71,0,5,0
2,0,0,2,0,5,0
2,3,0,231,1,5,0
1,2,0,270,1,5,0
1,2,0,274,1,5,0
4,2,0,-109,1,5,0
3,2,0,1,0,5,1
1,2,1,-60,0,5,0
1,2,0,89,0,5,0
1,2,0,-11,0,5,0
1,1,0,0,0,5,0
1,2,0,-509,0,5,0
9,1,0,408,0,5,0
5,1,0,58,0,5,0
6,2,0,1640,1,5,0
4,2,0,20,0,5,0
1,1,0,71,0,5,0
1,2,0,52,0,5,0
7,3,0,292,0,5,0
5,2,0,424,0,5,0
10,1,0,109,0,5,0
1,0,0,1044,0,5,0
1,2,0,983,0,5,0
4,2,0,869,0,5,1
1,1,0,668,0,5,0
2,3,0,964,0,5,0
2,2,0,301,0,5,0
4,2,0,140,0,5,0
2,2,0,1877,0,5,0
1,1,0,1127,0,5,0
3,2,0,871,0,5,0
3,2,0,767,1,5,0
1,2,0,0,0,5,0
5,2,0,209,0,5,0
2,1,0,0,0,5,0
1,2,0,110,1,5,0
2,3,0,-76,1,5,0
3,0,0,178,0,5,0
1,1,0,-66,0,5,0
3,2,0,0,0,5,0
1,2,0,1,0,5,0
1,2,0,0,0,5,0
9,3,0,5345,0,5,0
1,2,0,-209,0,5,0
4,2,0,0,0,5,0
1,2,0,42,0,5,0
1,2,0,41,0,5,0
1,2,0,-99,0,5,0
3,2,0,17,0,5,0
4,1,0,276,1,5,0
3,0,0,-170,0,5,0
2,3,0,230,1,5,0
1,2,0,9,0,5,0
1,2,0,946,0,5,0
1,1,0,1297,0,5,0
6,2,0,-331,0,5,0
1,2,0,44,0,5,0
6,2,1,15,0,5,0
4,2,0,712,0,5,0
6,2,0,5435,0,5,0
4,2,0,507,0,5,0
9,2,0,387,0,5,1
1,1,0,0,1,5,0
2,2,0,1716,0,5,0
8,2,0,167,1,5,0
4,0,0,40,1,5,0
1,1,0,148,0,5,0
3,2,0,17,1,5,0
1,3,0,1011,0,5,0
2,0,0,1527,0,5,0
2,3,0,744,0,5,0
4,2,0,484,0,5,0
2,3,0,0,0,5,0
6,1,0,136,0,5,0
1,2,0,1335,0,5,0
2,2,0,517,0,5,0
2,3,0,459,0,5,0
2,0,0,549,0,5,0
4,2,0,83,1,5,0
1,1,0,213,0,5,0
10,1,0,203,0,5,0
5,2,0,518,0,5,0
2,3,0,3877,0,5,0
4,2,0,1236,0,5,0
1,2,0,756,0,5,0
1,2,0,157,0,5,0
1,1,0,-66,0,5,0
1,0,0,245,0,5,0
1,1,0,-144,0,5,0
1,2,0,71,0,5,0
5,2,0,505,0,5,0
3,1,0,249,0,5,0
4,2,0,0,0,5,0
9,2,0,11,0,5,0
4,2,0,639,0,5,0
1,0,0,124,0,5,0
1,2,0,82,0,5,0
7,3,0,107,0,5,0
5,2,0,473,0,5,0
5,2,0,372,1,5,0
4,2,0,46,0,5,0
11,3,0,34,0,5,0
7,0,0,935,0,5,0
1,2,0,-10,0,5,0
4,2,0,-106,0,5,0
5,1,0,471,0,5,0
4,2,0,778,0,5,0
1,0,0,170,0,5,0
3,2,0,315,0,5,0
1,2,0,3165,0,5,0
4,2,0,131,0,5,0
8,2,1,204,0,5,0
3,2,0,83,0,5,0
5,2,0,0,1,5,0
1,1,0,5431,1,5,0
2,0,0,1759,0,5,0
9,2,0,-125,0,5,0
1,2,0,0,0,5,0
5,2,0,5090,0,5,1
3,0,0,573,0,5,0
1,2,0,1602,0,5,0
1,1,1,-137,1,5,0
3,0,0,0,0,5,0
5,2,0,193,0,5,0
6,2,0,195,1,5,0
8,2,0,288,0,5,0
3,2,0,19,0,5,0
1,1,0,25,0,5,0
5,2,0,216,0,5,0
1,1,0,190,1,5,0
3,2,0,99,0,5,0
5,1,0,2298,0,5,0
2,3,0,17,0,5,0
3,1,0,0,0,5,0
1,1,0,0,0,5,0
1,2,0,840,0,5,0
5,2,0,358,0,5,0
3,2,0,0,0,5,0
1,1,0,-325,1,5,0
3,2,0,-15,0,5,0
3,2,0,581,0,5,0
4,1,0,4070,0,5,0
6,2,0,74,1,5,0
5,2,0,141,0,5,0
5,2,0,89,0,5,0
5,2,1,0,0,5,0
1,2,0,450,0,5,0
3,3,0,310,0,5,0
7,2,0,0,0,5,0
1,2,0,384,0,5,0
1,2,0,395,0,5,0
5,0,0,-118,0,5,0
1,1,0,5,1,5,0
1,2,0,50,1,5,0
1,2,0,285,1,5,0
3,0,0,15,0,5,0
1,1,0,653,1,5,0
7,2,0,918,0,5,0
5,2,0,243,1,5,0
3,3,0,405,0,5,0
2,3,0,1328,0,5,0
5,1,0,255,0,5,0
1,2,0,3397,0,5,0
3,0,0,2106,0,5,0
2,3,0,2877,0,5,0
1,3,0,60,1,5,0
1,1,0,2226,0,5,0
1,1,0,2880,0,5,0
3,0,0,-5,0,5,0
3,2,0,147,0,5,0
3,2,0,7,1,5,0
3,2,0,109,0,5,0
6,1,0,-119,0,5,0
3,2,0,484,0,5,1
2,3,0,1852,0,5,0
9,2,0,533,0,5,0
3,2,0,21,0,5,0
4,0,0,2434,0,5,0
3,2,0,90,1,5,0
4,0,0,4246,0,5,0
4,3,0,395,0,5,0
1,1,0,15,0,5,0
5,3,0,85,0,5,0
8,3,0,-184,1,5,0
5,2,0,660,0,5,0
1,1,1,-183,0,5,0
9,2,0,1144,0,5,0
5,2,0,1,0,5,0
4,2,0,69,1,5,0
2,2,0,220,0,5,0
1,1,0,332,0,5,0
1,2,0,240,0,5,0
3,2,0,0,0,5,0
9,2,0,0,0,5,0
8,3,0,898,0,5,0
3,2,0,123,1,5,0
11,2,0,252,0,5,0
2,3,0,65,0,5,0
3,2,0,-366,1,5,0
11,2,0,209,0,5,0
4,2,0,221,0,5,0
7,3,0,4,0,5,0
4,2,0,104,0,5,0
3,2,0,312,0,5,0
1,2,0,-349,0,5,0
5,0,0,4,0,5,0
1,1,0,-322,1,5,0
4,2,0,-150,0,5,0
2,0,0,1349,0,5,0
4,3,0,281,0,5,0
5,2,0,1259,0,5,0
4,2,0,101,0,5,0
1,2,0,848,0,5,0
8,0,0,89,0,5,0
1,2,0,140,0,5,0
4,2,0,148,0,5,0
3,2,0,200,0,5,0
7,1,0,46,0,5,0
5,2,0,201,0,5,0
1,1,0,530,0,5,0
1,2,0,0,0,5,0
7,2,0,1,0,5,0
1,2,0,43,0,5,0
2,3,0,-173,0,5,0
2,3,0,389,0,5,0
1,1,0,215,1,5,0
3,2,0,-131,0,5,0
2,2,0,783,0,5,0
4,2,0,0,0,5,0
5,0,0,80,0,5,0
5,2,0,105,0,5,0
4,2,0,182,1,5,0
4,2,0,82,0,5,0
2,3,0,0,0,5,0
5,2,0,510,0,5,0
2,3,0,242,0,5,0
4,2,0,244,1,5,0
2,3,0,92,0,5,0
1,1,1,0,0,5,0
11,2,0,948,0,5,0
1,1,0,23,0,5,0
3,2,0,710,0,5,0
5,2,0,1205,0,5,0
3,2,0,368,1,5,1
8,3,0,1631,0,5,0
4,2,0,6,0,5,0
1,2,0,26,0,5,0
3,0,0,-48,0,5,0
2,3,0,2142,0,5,0
5,2,0,77,1,5,0
1,0,0,401,0,5,0
4,2,0,21,0,5,0
5,2,0,0,0,5,0
4,2,0,-497,0,5,0
1,1,0,369,0,5,0
3,0,0,78,0,5,0
3,3,0,226,1,5,0
3,2,0,503,0,5,0
1,2,0,372,0,5,0
4,2,0,0,1,5,0
1,2,0,0,0,5,0
8,3,0,125,0,5,0
6,1,0,4,0,5,0
4,0,0,419,0,5,0
4,2,0,322,0,5,0
6,2,0,303,0,5,0
1,2,0,607,0,5,0
1,2,0,579,0,5,0
4,2,0,3047,0,5,0
3,2,0,83,0,5,0
2,3,0,68,0,5,0
1,1,0,58,0,5,0
4,2,0,251,0,5,0
1,2,0,688,0,5,0
6,1,0,364,0,5,0
5,2,0,55,0,5,0
4,2,0,101,0,5,0
2,3,0,105,0,5,0
1,1,0,325,0,5,0
1,1,0,198,0,5,0
8,0,0,209,0,5,0
1,2,0,183,0,5,0
2,3,0,105,0,5,0
5,2,0,109,0,5,0
1,2,0,376,1,5,0
1,1,0,-7,0,5,0
3,2,0,0,0,5,0
6,2,0,143,0,5,0
2,3,0,550,0,5,0
1,1,0,162,0,5,0
2,3,0,115,0,5,0
1,1,0,512,0,5,0
1,0,0,807,0,5,0
1,0,0,248,0,5,0
1,1,0,1211,0,5,0
7,0,0,7,0,5,0
8,3,0,281,0,5,0
1,2,0,88,0,5,0
2,3,0,32,0,5,0
4,2,0,115,0,5,0
1,2,0,254,0,5,0
2,3,0,144,0,5,0
9,3,0,383,0,5,0
4,2,0,569,1,5,0
10,2,0,0,0,5,0
4,2,0,3754,0,5,0
10,3,0,6920,0,5,0
5,2,0,307,1,5,0
3,2,0,-421,0,5,0
1,2,0,60,0,5,0
1,1,0,67,0,5,0
3,2,0,402,0,5,0
7,3,0,800,0,5,0
3,3,0,239,1,5,0
1,2,0,421,0,5,0
4,2,0,161,0,5,0
3,2,1,289,0,5,0
11,2,0,110,0,5,0
1,1,0,245,0,5,0
5,2,0,0,0,5,0
1,1,0,156,0,5,0
3,2,0,0,0,5,0
4,2,0,20,0,5,0
3,3,0,92,0,5,0
5,2,0,89,0,5,0
1,2,0,166,0,5,0
2,3,0,103,0,5,0
1,1,0,-454,0,5,0
4,2,0,445,0,5,0
4,2,0,4,0,5,0
1,2,0,1001,0,5,0
5,2,0,-69,0,5,0
3,2,0,42,0,5,0
3,0,0,1617,0,5,0
2,3,0,221,0,5,0
3,2,0,210,1,5,0
2,3,0,0,0,5,0
11,3,0,185,0,5,0
6,2,0,836,0,5,0
1,2,0,301,0,5,0
1,1,0,503,0,5,0
6,1,0,407,0,5,0
1,2,0,53,0,5,0
7,3,0,2303,0,5,0
2,3,0,144,0,5,0
5,2,0,205,0,5,0
2,3,0,305,0,5,0
1,2,0,251,1,5,0
6,2,0,0,0,5,0
3,2,0,8,0,5,0
1,2,0,139,0,5,0
5,2,0,184,0,5,0
1,2,0,238,0,5,0
4,2,0,0,0,5,0
1,1,1,0,0,5,0
5,1,0,222,0,5,0
5,2,0,414,0,5,0
6,1,0,223,0,5,0
3,2,0,197,0,5,0
1,2,0,-251,0,5,0
7,2,0,-139,0,5,0
1,0,0,733,0,5,0
3,3,0,0,0,5,0
5,2,0,1,0,5,0
1,1,0,97,0,5,0
1,1,0,435,0,5,0
2,3,0,0,0,5,0
3,3,0,147,0,5,0
3,3,0,3,0,5,0
5,2,0,1109,1,5,0
5,2,0,404,0,5,0
1,1,0,981,0,5,0
1,1,0,95,0,5,0
5,2,0,302,0,5,0
5,2,0,-290,1,5,0
5,2,0,259,0,5,0
1,2,0,527,1,5,0
6,2,0,102,0,5,0
2,3,0,872,0,5,0
2,3,0,490,0,5,0
1,1,0,19,0,5,0
1,2,0,16,0,5,0
2,3,0,386,0,5,0
3,2,0,539,0,5,0
3,2,0,-329,0,5,0
5,2,0,-174,0,5,0
8,2,0,68,0,5,0
1,0,1,-532,0,5,0
4,2,0,0,0,5,0
1,2,0,64,0,5,0
1,2,0,1415,0,5,0
3,2,0,147,0,5,0
1,2,0,72,0,5,0
5,2,0,-196,0,5,0
1,1,0,716,0,5,0
2,3,0,0,0,5,0
5,2,0,-246,0,5,0
1,2,0,-203,0,5,0
4,2,0,245,1,5,1
5,2,0,342,0,5,0
3,3,0,3,0,5,0
2,3,1,-248,1,5,0
1,2,0,376,0,5,0
1,2,0,370,0,5,0
4,2,0,594,0,5,0
1,2,0,387,0,5,0
5,2,0,208,0,5,0
1,2,0,563,0,5,0
5,2,0,392,1,5,0
6,2,0,165,0,5,0
4,0,0,236,0,5,0
5,1,0,52,0,5,0
2,3,0,1265,0,5,0
1,1,0,693,0,5,0
3,2,0,118,0,5,0
1,1,0,3659,0,5,0
1,2,0,24,0,5,0
2,3,0,673,0,5,0
7,2,0,273,0,5,0
5,2,0,327,0,5,0
4,2,0,299,0,5,0
1,2,0,0,0,5,0
1,1,0,109,0,5,0
2,3,0,552,0,5,0
1,1,0,473,0,5,0
12,0,0,414,0,5,0
1,2,0,154,0,5,1
3,2,0,344,0,5,0
4,2,0,8,0,5,0
5,2,0,78,0,5,0
1,2,0,266,0,5,0
10,3,0,98,1,5,0
1,1,0,83,0,5,0
2,3,1,45,0,5,0
9,3,0,8,0,5,0
2,3,0,263,0,5,0
1,2,0,306,0,5,0
2,3,0,233,0,5,0
2,3,0,447,1,5,0
11,2,0,872,0,5,0
5,1,0,-291,1,5,1
5,3,0,309,1,5,0
1,2,0,202,0,5,0
8,1,0,56,1,5,0
1,1,0,229,1,5,0
1,1,0,143,0,5,0
4,2,0,100,0,5,1
4,2,0,326,0,5,0
1,2,0,167,0,5,0
4,2,0,545,0,5,0
4,2,0,2100,1,5,0
5,2,0,0,1,5,0
4,1,0,192,0,5,0
2,3,0,442,0,5,0
2,3,0,267,0,5,0
5,2,0,0,0,5,0
1,1,0,377,0,5,0
6,2,0,7624,0,5,0
7,1,0,66,0,5,0
1,0,0,37,0,5,0
4,2,0,64,0,5,0
2,3,0,34,0,5,0
4,2,0,627,0,5,0
7,1,0,1013,0,5,0
4,2,0,140,0,5,0
5,3,0,8823,0,5,0
1,2,0,97,0,5,0
1,0,0,5,0,5,0
9,2,0,74,0,5,0
4,2,0,58544,0,5,0
3,2,0,169,0,5,0
7,3,0,444,0,5,0
5,3,0,542,0,5,0
1,2,0,-205,0,5,0
2,3,0,112,0,5,0
5,2,0,39,0,5,0
1,2,0,1268,0,5,0
1,2,0,-98,0,5,0
4,2,0,44,1,5,0
6,1,0,-90,1,5,0
1,2,0,0,0,5,0
1,2,1,-94,1,5,0
1,2,1,-345,0,5,0
1,2,0,-932,0,5,0
1,1,0,20,0,5,0
1,2,0,90,0,5,0
4,2,0,31,0,5,0
2,3,0,134,1,5,0
5,2,0,0,0,5,0
1,2,0,61,0,5,0
1,2,1,-5,0,5,0
5,2,0,-45,0,5,0
1,2,0,156,1,5,0
5,2,0,564,0,5,0
4,2,0,-6,0,5,0
5,2,0,528,0,5,0
8,0,0,1481,0,5,0
2,2,0,2019,0,5,0
3,2,0,1855,0,5,0
2,2,0,147,1,5,0
3,2,0,220,0,5,0
1,1,0,198,0,5,0
2,3,0,115,0,5,0
4,0,0,87,0,5,0
3,3,0,644,0,5,0
1,2,0,225,1,5,0
6,2,0,502,0,5,0
5,2,0,-32,0,5,0
1,1,0,106,0,5,0
3,3,0,301,0,5,0
6,3,0,906,0,5,0
2,0,0,187,0,5,0
5,2,0,852,1,5,0
1,1,0,143,0,5,0
4,2,0,71,0,5,0
5,2,0,1496,0,5,0
5,2,0,703,0,5,0
1,2,0,732,0,5,0
5,2,0,21,0,5,0
2,2,0,276,0,5,0
3,2,0,0,0,5,0
1,1,0,550,0,5,0
6,2,0,268,0,5,0
9,2,0,-825,0,5,0
4,2,0,137,1,5,0
6,2,0,42,1,5,0
2,3,0,54,0,5,0
9,3,0,1716,0,5,0
4,1,0,270,0,5,0
1,1,0,803,0,5,0
3,2,0,102,0,5,0
